,Codigo,Produto,Preco,empresa
,PO-005,FENO GREGO PO,"6,92",VIMACEDO
,PO-005,FENO GREGO PO,"11,50",PAVIANI
,GRA-008,BISCOITO DE ARROZ CHURRASCO,"21,84",VIMACEDO
,GRA-008,BISCOITO DE ARROZ CHURRASCO,"30,00",PAVIANI
,GRA-009,GIRASSOL GRAUDO,"6,73",VIMACEDO
,GRA-009,GIRASSOL GRAUDO,"12,00",NATIVAS
,GRA-012,PEPITA DE GIRASSOL,"13,83",VIMACEDO
,GRA-012,PEPITA DE GIRASSOL,"22,00",PAVIANI
,SAL-001,SAL ROSA DO HIMALAIA,"2,82",VIMACEDO
,SAL-001,SAL ROSA DO HIMALAIA,"5,80",PAVIANI
,ERV-003,CARDO MARIANO,"39,00",BRASIL ERVAS
,ERV-003,CARDO MARIANO,"31,00",POLICO
,ERV-004,CARQUEJA AMARGA,"12,00",BRASIL ERVAS
,ERV-004,CARQUEJA AMARGA,"8,95",POLICO
,PO-006,FARINHA DE UVA,"23,50",VIDA EM GRAOS
,PO-006,FARINHA DE UVA,"32,00",PAVIANI
,ERV-013,FOLHA DE GRAVIOLA,"15,10",VIDA EM GRAOS
,ERV-013,FOLHA DE GRAVIOLA,"14,00",BRASIL ERVAS